waktu mulai => start 2022-05-22 01:01:15
id user => 1; cust id => 0; skip
id user => 2; cust id => 0054989199; skip
id user => 3; cust id => 0054981483; skip
id user => 4; cust id => 0000023424; skip
id user => 6; cust id => 0; skip
id user => 7; cust id => 0; skip
id user => 8; cust id => 0; skip
id user => 9; cust id => 0; skip
id user => 10; cust id => 0; skip
id user => 11; cust id => 0; skip
id user => 12; cust id => 0; skip
id user => 13; cust id => 0; skip
id user => 14; cust id => 0; skip
id user => 15; cust id => 0; skip
id user => 16; cust id => 0; skip
id user => 17; cust id => 0; skip
id user => 18; cust id => 0; skip
id user => 19; cust id => 0; skip
id user => 20; cust id => 0; skip
id user => 21; cust id => 0; skip
id user => 22; cust id => 0; skip
id user => 23; cust id => 0; skip
id user => 59; cust id => 0000693523; skip
id user => 74; cust id => 0042298703; skip
id user => 75; cust id => 0048926729; skip
id user => 76; cust id => 0004763827; skip
id user => 84; cust id => 0049180854; skip
id user => 87; cust id => 0049838790; skip
id user => 88; cust id => 0048560742; skip
id user => 89; cust id => 0; skip
id user => 90; cust id => 0; skip
id user => 91; cust id => 0; skip
id user => 93; cust id => 0029663861; skip
id user => 94; cust id => 0000286625; skip
id user => 95; cust id => 0002275139; skip
id user => 96; cust id => 0002378040; skip
id user => 97; cust id => 0001138817; skip
id user => 98; cust id => 0000191627; skip
id user => 99; cust id => 0018132241; skip
id user => 100; cust id => 0003568359; skip
id user => 101; cust id => 0001217033; skip
id user => 102; cust id => 0029147022; skip
id user => 103; cust id => 0029685872; skip
id user => 104; cust id => 0021212139; skip
id user => 105; cust id => 0003385234; skip
id user => 106; cust id => 0030392781; skip
id user => 107; cust id => 0041334715; skip
id user => 108; cust id => 0021221890; skip
id user => 109; cust id => 0026448027; skip
id user => 110; cust id => 0001859727; skip
id user => 111; cust id => 0000528828; skip
id user => 112; cust id => 0052632759; skip
id user => 113; cust id => 0040554792; skip
id user => 114; cust id => 0042188714; skip
id user => 115; cust id => 0010429124; skip
id user => 116; cust id => 0050606771; skip
id user => 117; cust id => 0000967927; skip
id user => 118; cust id => 0005972856; skip
id user => 119; cust id => 0003628229; skip
id user => 120; cust id => 0028396315; skip
id user => 121; cust id => 0001243336; skip
id user => 122; cust id => 0000827121; skip
id user => 123; cust id => 0001560358; skip
id user => 124; cust id => 0000185223; skip
id user => 125; cust id => 0043474733; skip
id user => 126; cust id => 0022049407; skip
id user => 127; cust id => 0000354027; skip
id user => 128; cust id => 0006154504; skip
id user => 129; cust id => 0004189148; skip
id user => 130; cust id => 0021162524; skip
id user => 131; cust id => 0001900828; skip
id user => 132; cust id => 0002559243; skip
id user => 133; cust id => 0048180780; skip
id user => 134; cust id => 0000812529; skip
id user => 135; cust id => 0030127997; skip
id user => 136; cust id => 0015776248; skip
id user => 137; cust id => 0001041524; skip
id user => 138; cust id => 0001260934; skip
id user => 139; cust id => 0029564911; skip
id user => 140; cust id => 0001524255; skip
id user => 141; cust id => 0003477049; skip
id user => 142; cust id => 0029750676; skip
id user => 143; cust id => 0021125984; skip
id user => 144; cust id => 0002557148; skip
id user => 145; cust id => 0000151621; skip
id user => 146; cust id => 0002245249; skip
id user => 147; cust id => 0006646269; skip
id user => 148; cust id => 0000484725; skip
id user => 149; cust id => 0028855922; skip
id user => 150; cust id => 0000864223; skip
id user => 151; cust id => 0013436258; skip
id user => 152; cust id => 0000509927; skip
id user => 153; cust id => 0001511054; skip
id user => 154; cust id => 0001570555; skip
id user => 155; cust id => 0010334282; skip
id user => 156; cust id => 0037024726; skip
id user => 157; cust id => 0002123412; skip
id user => 158; cust id => 0002327732; skip
id user => 159; cust id => 0049150709; skip
id user => 160; cust id => 0024394751; skip
id user => 161; cust id => 0002645968; skip
id user => 162; cust id => 0002307239; skip
id user => 163; cust id => 0000339325; skip
id user => 164; cust id => 0012922340; skip
id user => 165; cust id => 0004597621; skip
id user => 166; cust id => 0047034715; skip
id user => 167; cust id => 0003595840; skip
id user => 168; cust id => 0000337121; skip
